Sl no.,Type,Company Name,Address
126,Electric vehicle charging station,Electric Vehicle Charging Station,"Shapoorji Bus Terminus, Action Area III, Newtown, Kolkata, West Bengal 700135"
127,Electric vehicle charging station,Electric Vehicle Charging Station,"Parking Lot Golf Club, Gate no. 6, Ecopark, Deshbandhu Nagar, Rekjuani, West Bengal 700156"
128,Electric vehicle charging station,Electric Vehicle Charging Station,"Nawabpur (New Town, Action Area IIE, Rekjuani, Kolkata, West Bengal 700135"
129,Electric vehicle charging station,Hero Electric Charging Station,"109/1/F Girish Ghosh Road, Howrah, Kolkata, West Bengal 711202"
130,Electric vehicle charging station,Electric Vehicle Charging Station,"Mehman Kolkata Restaurant, BF Block(Newtown), Action Area 1B, Newtown, NKDA, West Bengal 700156"
131,Electric vehicle charging station,Hero Electric Charging Station,"Chetla Hut Road, Kalighat, West Bengal 700027"
132,Electric vehicle charging station,Hero Electric Charging Station,"Sen Mukherjee Bagan, 1, Diamond Harbour Rd, Pora Aswathatola, Paschim Barisha, Kolkata, West Bengal 700063"
133,Electric vehicle charging station,EV Charging Solution,"2nd Floor, Room 24C, Gajraj Chamber, 86B/2, Topsia Rd, Topsia, Kolkata, West Bengal 700046"
134,Electric vehicle charging station,Electric Vehicle Charging Station,"1021, Janoki,opposite to SBI Bank, JN Bose Rd, Kodalla, Rajpur Sonarpur, Kolkata, West Bengal 700146"
135,Electric vehicle charging station,Hero Electric Charging Station,"295 G.T Road Belur Howrah, Howrah, Kolkata, West Bengal 711202"
136,Electric vehicle charging station,S.S.Enterprise,"41c, Ashutosh Mukherjee Rd, Bot Tola, Shyampur, Budge Budge, Kolkata, West Bengal 700137"
137,Electric vehicle charging station,Hero Electric Vehicle Charging Station,"D.H. Road, Bratachari Gram, Joka, Kolkata, West Bengal 700104"
138,Electric vehicle charging station,Electric Vehicle Charging Station,"Balaram Hospital, 10, Barrackpore Trunk Rd, Khardaha, Kolkata, West Bengal 700116"
139,Electric vehicle charging station,Electric Vehicle Charging Station,"IOCL Paul Chowdhury Enterprise, Barrackpore Trunk Rd, Vivek Nagar, Titagarh, Kolkata, West Bengal 700119"
140,Electric vehicle charging station,Nafish aman electric,"1811, Kolkata, West Bengal 700135"
141,Electric vehicle charging station,EESL Charging Station,"Street Number 24, Sub-Central Business District(Action Area 1), Action Area I, Newtown, New Town, West Bengal 700156"
142,Electric vehicle charging station,ZAKIR & SONS ELECTRONICS,"35, 1, Samsul Huda Rd, Park Circus, Ballygunge, Kolkata, West Bengal 700017"
143,Electric vehicle charging station,J D Enterprise,"Sree Colony Bazar, Bijoygarh, Kolkata, West Bengal 700032"
144,Electric vehicle charging station,Electric Vehicle Charging Station,"%u0995%u09B2%u0995%u09BE%u09A4%u09BE, Ghuni Rd, Action Area IIE, Newtown, New Town, West Bengal 700157"
145,Electric vehicle charging station,Electric Vehicle Charging Station,"Malancha Housing, Action Area IIB, Rekjuani, Kolkata, West Bengal 700135"
146,Electric vehicle charging station,Electric Vehicle Charging Station,"Shapoorji Bus Terminus, Action Area III, Newtown, Kolkata, West Bengal 700135"
147,Electric vehicle charging station,Electric Vehicle Charging Station,"Parking Lot Golf Club, Gate no. 6, Ecopark, Deshbandhu Nagar, Rekjuani, West Bengal 700156"
148,Electric vehicle charging station,Electric Vehicle Charging Station,"Nawabpur (New Town, Action Area IIE, Rekjuani, Kolkata, West Bengal 700135"
149,Electric vehicle charging station,Hero Electric Charging Station,"109/1/F Girish Ghosh Road, Howrah, Kolkata, West Bengal 711202"
150,Electric vehicle charging station,Electric Vehicle Charging Station,"Mehman Kolkata Restaurant, BF Block(Newtown), Action Area 1B, Newtown, NKDA, West Bengal 700156"
151,Electric vehicle charging station,Hero Electric Charging Station,"Chetla Hut Road, Kalighat, West Bengal 700027"
152,Electric vehicle charging station,Hero Electric Charging Station,"Sen Mukherjee Bagan, 1, Diamond Harbour Rd, Pora Aswathatola, Paschim Barisha, Kolkata, West Bengal 700063"
153,Electric vehicle charging station,EV Charging Solution,"2nd Floor, Room 24C, Gajraj Chamber, 86B/2, Topsia Rd, Topsia, Kolkata, West Bengal 700046"
154,Electric vehicle charging station,Electric Vehicle Charging Station,"1021, Janoki,opposite to SBI Bank, JN Bose Rd, Kodalla, Rajpur Sonarpur, Kolkata, West Bengal 700146"
155,Electric vehicle charging station,Hero Electric Charging Station,"295 G.T Road Belur Howrah, Howrah, Kolkata, West Bengal 711202"
156,,,
157,Electric vehicle charging station,EESL Charging Station,"Street Number 24, Sub-Central Business District(Action Area 1), Action Area I, Newtown, New Town, West Bengal 700156"
158,Electric vehicle charging station,Mahindra Charging Station,"Near Tank No 3, Opp Goutams, Street Number 24, Action Area I, New Town, West Bengal 700156"
159,Electric vehicle charging station,Electric Vehicle Charging Station,"Street Number 30, AF Block(Newtown), Action Area I, New Town, West Bengal 700059"
160,Electric vehicle charging station,Electric Vehicle Charging Station,"Under, Maa Flyover, near Charcoal grill Restaurant, Park Circus, at, Kolkata, West Bengal 700017"
161,Electric vehicle charging station,Electric Vehicle Charging Station,"63, Khudiram Bose Rd, Birendranagar Colony, Belgachia, Kolkata, West Bengal 700037"
162,Electric vehicle charging station,Electric Vehicle Charging Station,"Mehman Kolkata Restaurant, BF Block(Newtown), Action Area 1B, Newtown, NKDA, West Bengal 700156"
163,Electric vehicle charging station,Electric Vehicle Charging Station,"292, R N Guha Road, Dumdum Nagerbazar, Kolkata, West Bengal 700028"
164,Electric vehicle charging station,Electric Vehicle Charging Station,"Millenium Tower, Major Arterial Road(South-East), International Finalcial Hub(CBD), Kadampukur Village, Newtown, Kolkata, West Bengal 700156"
165,Electric vehicle charging station,EESL Charging Station,"Tata Cancer Hospital, DH Block(Newtown), Action Area 1D, Newtown, New Town, West Bengal 700156"
166,Electric vehicle charging station,Mahindra Charging Station,"HFP4+4QC, AE Block(Newtown), Newtown, New Town, West Bengal 700059"
167,Electric vehicle charging station,Electric Vehicle Charging Station,"NH34, Jatragachhi, Deshbandhu Nagar, Newtown, Kolkata, West Bengal 700156"
168,Electric vehicle charging station,NKDA Charging Station,"Unnamed Road, Jatragachhi, Deshbandhu Nagar, Rekjuani, Kolkata, West Bengal 700156"
169,Electric vehicle charging station,Electric Vehicle Charging Station,"%u0995%u09B2%u0995%u09BE%u09A4%u09BE, Ghuni Rd, Action Area IIE, Newtown, New Town, West Bengal 700157"
170,Electric vehicle charging station,Electric Vehicle Charging Station,"Automall, Service Rd, Action Area II, Tali Park, Action Area IID, New Town, West Bengal 700052"
171,Electric vehicle charging station,Electric Vehicle Charging Point,"Plot No.2C, Premises No.10, 097, Street Number 110, BA Block(Newtown), Action Area I, Newtown, New Town, West Bengal 700156"
172,Electric vehicle charging station,Electric Vehicle Charging Station,"Opp.Lake Police Stn./ Indian Oil Corp. H.O, Jodhpur Park, Kolkata, West Bengal 700068"
173,Electric vehicle charging station,Electric Vehicle Charging Station,"Second Floor 1644, Rajdanga Pally, EKTP Phase 3, Sector G, East Kolkata Twp, Kolkata, West Bengal 700107"
174,Electric vehicle charging station,Electric Vehicle Charging Station,"111a, Rishi Bankim Chandra Road, Mahendra Colony, Cantonment, Rajbari, Dum Dum, Kolkata, West Bengal 700028"
175,Electric vehicle charging station,Electric Vehicle Charging Station,"10, Mahendra Colony, Cantonment, Rajbari, Dum Dum, Kolkata, West Bengal 700028"
176,Electric vehicle charging station,Electric Vehicle Charging Station,"Nawabpur (New Town, Action Area IIE, Rekjuani, Kolkata, West Bengal 700135"
177,Electric vehicle charging station,EESL Charging Station,"Street Number 24, Sub-Central Business District(Action Area 1), Action Area I, Newtown, New Town, West Bengal 700156"
